trade_id,window_ts,asset,market_slug,condition_id,clob_order_id,placed_at,resolved_at,direction,entry_price,stake_usd,entry_reason,config_version,source_agreement,delta_chainlink,delta_tiingo,vpin_at_entry,regime,eval_tier,dynamic_cap,order_type,oracle_outcome,trade_outcome,pnl_usd,payout_usd,resolution_source,is_live,notes,created_at
1296,1775779200,BTC,,,,2026-04-10T00:02:36.809886+00:00,2026-04-10T00:05:53.076352+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-10T00:05:53.076352+00:00
1297,1775779500,BTC,,,,2026-04-10T00:08:41.272964+00:00,2026-04-10T00:11:59.035086+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T88_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-10T00:11:59.035086+00:00
1298,1775779800,BTC,,,,2026-04-10T00:12:41.502824+00:00,2026-04-10T00:17:04.737447+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T148_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-10T00:17:04.737447+00:00
1300,1775780100,BTC,,,,2026-04-10T00:17:38.511930+00:00,2026-04-10T00:21:09.929304+00:00,NO,0.6700,3.35,v10_DUNE_CASCADE_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.5800,,trigger,True,,2026-04-10T00:21:09.929304+00:00
1303,1775780700,BTC,,,,2026-04-10T00:27:36.923465+00:00,2026-04-10T00:32:25.072814+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-10T00:32:25.072814+00:00
1304,1775781000,BTC,,,,2026-04-10T00:33:10.445356+00:00,2026-04-10T00:37:34.290108+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T120_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-10T00:37:34.290108+00:00
1306,1775781300,BTC,,,,2026-04-10T00:37:36.083708+00:00,2026-04-10T00:42:42.110146+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-10T00:42:42.110146+00:00
1307,1775781900,BTC,,,,2026-04-10T00:48:34.530303+00:00,2026-04-10T00:51:55.605329+00:00,YES,0.6100,3.05,v10_DUNE_NORMAL_T92_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.4400,,trigger,True,,2026-04-10T00:51:55.605329+00:00
1308,1775782200,BTC,,,,2026-04-10T00:52:36.689264+00:00,2026-04-10T00:57:02.042700+00:00,YES,0.6800,3.34,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.5700,,trigger,True,,2026-04-10T00:57:02.042700+00:00
1311,1775783100,BTC,,,,2026-04-10T01:08:27.338670+00:00,2026-04-10T01:12:20.642431+00:00,NO,0.6800,3.40,v10_DUNE_CASCADE_T96_FAK_CG+0.05,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-10T01:12:20.642431+00:00
